位置,经纬度
广东省深圳市福田区港丽豪园,"114.066255,22.530423"
广东省深圳市龙华区水榭春天花园三期,"114.025450,22.627811"
广东省深圳市南山区中海阳光玫瑰园,"113.895516,22.502219"
广东省深圳市龙岗区瑞泽佳园,"114.182371,22.644915"
广东省深圳市南山区南光城市花园,"113.924014,22.519054"
广东省深圳市南山区香山里花园一期,"113.974716,22.553089"
广东省深圳市罗湖区淘金山湖景花园2期,"114.144570,22.586330"
广东省深圳市龙岗区信义锦绣花园,"114.190834,22.646138"
广东省深圳市南山区金海岸大厦,"113.928492,22.514340"
广东省深圳市罗湖区太白居,"114.138394,22.579679"
广东省深圳市南山区鼎太风华七期,"113.907467,22.515115"
广东省深圳市坪山区天峦湖花园,"114.353033,22.665489"
广东省深圳市罗湖区朗钜御风庭,"114.131702,22.541570"
广东省深圳市罗湖区万事达名苑,"114.135526,22.568664"
广东省深圳市南山区山海津,"113.899904,22.482694"
广东省深圳市南山区雷圳碧榕湾海景花园,"113.904633,22.511324"
广东省深圳市盐田区东部翠海轩,"114.243207,22.561416"
广东省深圳市宝安区锦绣清华园四区,"113.863841,22.613976"
广东省深圳市宝安区桃源居十一区,"113.861927,22.614834"
广东省深圳市福田区皇达东方雅苑,"114.057243,22.524391"
广东省深圳市罗湖区鹏兴花园六期,"114.167946,22.561055"
广东省深圳市罗湖区大地花园,"114.125372,22.576266"
广东省深圳市福田区金地网球花园,"114.017951,22.553574"
广东省深圳市宝安区绿海名居,"113.859014,22.562595"
广东省深圳市盐田区碧桐海苑,"114.237032,22.559469"
广东省深圳市南山区珠光花半里,"113.963752,22.570784"
广东省深圳市南山区鼎太风华三期,"113.910135,22.519532"
广东省深圳市罗湖区逸翠园2期,"114.130180,22.560559"
广东省深圳市南山区桃苑公寓,"113.924088,22.528231"
广东省深圳市盐田区壹站,"114.229800,22.554168"
广东省深圳市龙岗区阅山华府,"114.245345,22.733676"
广东省深圳市南山区华联城市山林一期,"113.915536,22.511462"
广东省深圳市南山区玫瑰园三期,"113.930278,22.479174"
广东省深圳市龙岗区新龙岗花园,"114.254507,22.735213"
广东省深圳市宝安区幸福海岸一期,"113.878551,22.559231"
广东省深圳市南山区兰溪谷二期,"113.914170,22.489067"
广东省深圳市福田区盛世家园二期,"114.065169,22.561202"
广东省深圳市南山区华联城市山林花园二期,"113.916020,22.511710"
广东省深圳市南山区首地容御花园,"113.973121,22.550189"
广东省深圳市福田区天然居,"114.036194,22.553822"
广东省深圳市罗湖区联城美园,"114.128579,22.543493"
广东省深圳市南山区星海名城六期,"113.912566,22.537940"
广东省深圳市福田区深业花园,"114.066442,22.545734"
广东省深圳市盐田区金山碧海,"114.240003,22.588218"
广东省深圳市罗湖区龙丽园,"114.127575,22.559715"
广东省深圳市罗湖区鹏兴花园五期,"114.169050,22.558465"
广东省深圳市盐田区壹海城一区,"114.237538,22.554387"
广东省深圳市宝安区碧海富通城二期,"113.858418,22.569056"
广东省深圳市南山区海怡东方花园,"113.951330,22.526220"
广东省深圳市南山区海月花园,"113.935105,22.501426"
广东省深圳市龙华区金庸阁,"114.021079,22.650072"
广东省深圳市龙岗区龙威花园|3栋,"114.123236,22.600847"
广东省深圳市盐田区东海岸二期,"114.299534,22.601095"
广东省深圳市南山区世纪村4期,"113.964940,22.533340"
广东省深圳市龙岗区大都汇大厦,"114.122440,22.601484"
广东省深圳市南山区宝珠花园,"113.957817,22.571077"
广东省深圳市南山区硅谷别墅,"113.956451,22.551585"
广东省深圳市龙华区中航天逸花园,"114.021481,22.627064"
广东省深圳市龙岗区御峰园,"114.148005,22.694131"
广东省深圳市罗湖区丹枫白露苑,"114.139299,22.545340"
广东省深圳市南山区栖游记,"113.933496,22.488018"
广东省深圳市罗湖区安业花园,"114.151276,22.553852"
广东省深圳市罗湖区金色都汇,"114.125524,22.540664"
广东省深圳市龙岗区东方御花园,"114.235216,22.725665"
广东省深圳市南山区天地峰景园,"113.985746,22.559254"
广东省深圳市南山区天鹅堡,"113.979539,22.547659"
广东省深圳市福田区五洲星苑,"114.045494,22.542072"
广东省深圳市南山区缤纷假日,"113.927818,22.520407"
广东省深圳市宝安区金成时代家园,"113.882576,22.562466"
广东省深圳市盐田区东埔海景花园,"114.237786,22.549303"
广东省深圳市龙华区中央原著北区,"114.022535,22.630463"
广东省深圳市龙岗区紫薇苑,"114.240944,22.715973"
广东省深圳市龙岗区来座山,"114.132129,22.623005"
广东省深圳市宝安区桃源居十三区,"113.864620,22.614970"
广东省深圳市龙华区世纪春城一期,"114.034932,22.627259"
广东省深圳市宝安区碧海富通城四期,"113.852843,22.567911"
广东省深圳市龙岗区香林玫瑰花园,"114.225028,22.720301"
广东省深圳市罗湖区新港鸿花园,"114.130525,22.572219"
广东省深圳市龙华区城市阳光花园,"114.017066,22.670939"
广东省深圳市宝安区绿海名苑,"113.866964,22.576821"
广东省深圳市南山区桃源村三期,"113.985586,22.557324"
广东省深圳市罗湖区百仕达花园一期,"114.135221,22.570626"
广东省深圳市福田区嘉葆润金座家园,"114.047756,22.523889"
广东省深圳市福田区越海家园,"114.006826,22.535162"
广东省深圳市罗湖区罗湖金岸,"114.124042,22.533896"
广东省深圳市南山区翡翠明珠,"113.922975,22.533606"
广东省深圳市宝安区西荟城二期,"113.816076,22.733245"
广东省深圳市盐田区倚山时代,"114.263915,22.590096"
广东省深圳市宝安区宝田雅苑,"113.867874,22.581033"
广东省深圳市龙华区观澜豪园,"114.075505,22.722872"
广东省深圳市龙华区水榭春天花园一期,"114.023170,22.629200"
广东省深圳市福田区御花园,"114.074301,22.525666"
广东省深圳市福田区水榭花都三期,"114.037107,22.550133"
广东省深圳市龙岗区嘉欣园,"114.216173,22.710205"
广东省深圳市南山区泛海拉菲花园二期,"113.893403,22.496300"
广东省深圳市福田区港田花园,"114.073479,22.517268"
广东省深圳市南山区麒麟花园2期,"113.928437,22.544712"
广东省深圳市南山区南荔苑,"113.915088,22.512708"
广东省深圳市南山区前海金岸大厦,"113.918102,22.532864"
广东省深圳市罗湖区鹿茵翠地,"114.161036,22.558492"
广东省深圳市罗湖区芳庭苑,"114.150789,22.551669"
广东省深圳市罗湖区沁芳名苑,"114.134274,22.557654"
广东省深圳市南山区观海台,"113.937552,22.514649"
广东省深圳市龙华区丰润花园,"114.028432,22.639379"
广东省深圳市龙岗区万隆苑,"114.121603,22.619157"
广东省深圳市龙华区美丽365,"114.031750,22.663318"
广东省深圳市罗湖区宁水花园,"114.145641,22.561802"
广东省深圳市宝安区恒丰工业城,"113.864670,22.627961"
广东省深圳市宝安区御景湾,"113.874319,22.562184"
广东省深圳市福田区福源花园,"114.053077,22.508751"
广东省深圳市龙岗区旭源瑞景轩,"114.267932,22.711428"
广东省深圳市宝安区灵芝新村,"113.912106,22.558009"
广东省深圳市宝安区冠城世家,"113.904662,22.565742"
广东省深圳市龙岗区宝龙花园,"114.117303,22.604654"
广东省深圳市龙岗区南岭花园,"114.141536,22.602186"
广东省深圳市宝安区花样年花乡,"113.883000,22.565057"
广东省深圳市福田区山语清晖,"114.015887,22.564555"
广东省深圳市罗湖区蓝堡公寓,"114.136039,22.575570"
广东省深圳市龙华区世纪春城四期,"114.035740,22.628790"
广东省深圳市南山区鼎太风华二期,"113.911759,22.520689"
广东省深圳市南山区浅水湾花园,"113.947343,22.522399"
广东省深圳市龙岗区春华四季园,"114.052700,22.621468"
广东省深圳市福田区福兴花园1期,"114.044747,22.569019"
广东省深圳市罗湖区大澎花园,"114.147582,22.545192"
广东省深圳市龙岗区花园4期,"114.157250,22.608511"
广东省深圳市龙岗区桂芳园七期,"114.139476,22.609332"
广东省深圳市罗湖区鹿鸣园,"114.128526,22.575210"
广东省深圳市龙华区美丽365,"114.031750,22.663318"
广东省深圳市盐田区盛世名门家园,"114.229537,22.549183"
广东省深圳市龙岗区栖湖,"114.258394,22.699789"
广东省深圳市宝安区桃源居十七区,"113.862392,22.619906"
广东省深圳市南山区西海明珠花园,"113.930107,22.530574"
广东省深圳市南山区麒麟花园,"113.932403,22.546159"
广东省深圳市宝安区香缤广场,"113.907031,22.561802"
广东省深圳市罗湖区仙桐御景家园,"114.179359,22.565087"
广东省深圳市宝安区中南花园,"113.901752,22.550252"
广东省深圳市龙岗区鸿景春天,"114.291498,22.724707"
广东省深圳市龙岗区鸿威de森林,"114.217065,22.749989"
广东省深圳市龙华区金侨花园,"114.028267,22.653457"
广东省深圳市龙岗区泰雅园,"114.143281,22.616423"
广东省深圳市罗湖区凯悦华庭,"114.126398,22.540064"
广东省深圳市龙华区观湖园,"114.037240,22.744264"
广东省深圳市福田区天健世纪花园,"114.064296,22.546159"
广东省深圳市福田区都市花园,"114.048513,22.530659"
广东省深圳市龙华区碧水龙庭,"114.047245,22.615822"
广东省深圳市龙岗区德兴城,"114.113635,22.608583"
广东省深圳市福田区中银花园,"114.066236,22.547553"
广东省深圳市宝安区桃源居三区,"113.862305,22.613894"
广东省深圳市龙岗区黄阁翠苑,"114.216602,22.713126"
广东省深圳市盐田区东海丽景花园,"114.258678,22.590386"
广东省深圳市龙岗区灏景明苑,"114.131069,22.609315"
广东省深圳市宝安区棕榈堡花园,"113.829454,22.719529"
广东省深圳市龙华区城市明珠花园,"114.028474,22.665991"
广东省深圳市南山区恒立心海湾花园,"113.895098,22.500970"
广东省深圳市龙华区富通天骏花园,"114.022825,22.650684"
广东省深圳市宝安区福永花苑,"113.831113,22.680118"
广东省深圳市罗湖区峰度天下,"114.153373,22.542029"
广东省深圳市龙岗区家和盛世花园,"114.233803,22.722521"
广东省深圳市罗湖区特力大厦,"114.123878,22.571384"
广东省深圳市罗湖区汇展阁,"114.117798,22.534065"
广东省深圳市罗湖区骏庭名园,"114.109997,22.547793"
广东省深圳市罗湖区泰宁花园,"114.140840,22.565691"
广东省深圳市龙华区桦润馨居,"114.026791,22.652876"
广东省深圳市南山区花城北区,"113.965828,22.530641"
广东省深圳市南山区阳光海滨花园,"113.940284,22.490257"
广东省深圳市福田区中泰燕南名庭,"114.093553,22.545096"
广东省深圳市龙岗区理想家园,"114.126842,22.590076"
广东省深圳市南山区新德家园,"113.914705,22.529421"
广东省深圳市南山区英达钰龙园,"113.920828,22.539354"
广东省深圳市南山区南海玫瑰花园二期,"113.924334,22.485267"
广东省深圳市福田区金怡华庭,"114.063558,22.524323"
广东省深圳市龙岗区万科城,"114.073176,22.645133"
广东省深圳市南山区半岛花园a区,"113.934078,22.498548"
广东省深圳市宝安区桃源居五区,"113.867741,22.615544"
广东省深圳市龙华区七里香,"114.025890,22.629655"
广东省深圳市南山区星海名城三期,"113.911966,22.536488"
广东省深圳市盐田区浩海明珠雅居,"114.250431,22.593605"
广东省深圳市龙华区水榭春天花园五期,"114.027871,22.623655"
广东省深圳市福田区四季山水花园二期,"114.046315,22.570558"
广东省深圳市龙华区绿景香颂,"114.034037,22.629224"
广东省深圳市宝安区碧海名园,"113.865010,22.581785"
广东省深圳市龙岗区海逸雅居,"114.227493,22.699758"
广东省深圳市龙岗区卧龙阁,"114.203211,22.649536"
广东省深圳市龙华区星河传奇花园一期,"114.019831,22.632923"
广东省深圳市福田区京基滨河时代广场,"114.026777,22.527884"
广东省深圳市宝安区泰华豪园,"113.882505,22.583190"
广东省深圳市福田区绿茵阁,"114.066798,22.521783"
广东省深圳市宝安区高发西岸花园三期,"113.877727,22.554115"
广东省深圳市福田区碧华庭居,"114.050164,22.563844"
广东省深圳市龙岗区慢城一期,"114.130740,22.623890"
广东省深圳市罗湖区麟腾苑,"114.143500,22.578089"
广东省深圳市罗湖区翠苑住宅小区,"114.137228,22.568029"
广东省深圳市南山区岸芷汀兰花园,"113.951085,22.522197"
广东省深圳市福田区南光名仕苑,"114.064988,22.516241"
广东省深圳市龙岗区豪苑|1,"114.136471,22.682709"
广东省深圳市罗湖区泰和花园,"114.136929,22.583687"
广东省深圳市福田区共和世家,"114.058126,22.521597"
广东省深圳市龙华区熙园山院,"114.025885,22.603309"
广东省深圳市龙岗区尚景花园,"114.245856,22.725938"
广东省深圳市盐田区幸福海,"114.250682,22.589978"
广东省深圳市龙岗区第五园五期,"114.070766,22.613241"
广东省深圳市福田区皇御苑,"114.075556,22.526089"
广东省深圳市罗湖区长丰苑,"114.127211,22.541275"
广东省深圳市福田区长城国际,"114.090224,22.550879"
广东省深圳市南山区麒麟花园,"113.929412,22.545639"
广东省深圳市龙岗区融湖中心城,"114.119218,22.693486"
广东省深圳市南山区熙湾俊庭,"113.948460,22.524945"
广东省深圳市罗湖区华清园,"114.151915,22.553807"
广东省深圳市福田区瑞昌大厦,"114.067591,22.528091"
广东省深圳市福田区枫丹雅苑,"114.023236,22.553615"
广东省深圳市宝安区文汇花园,"113.895401,22.569935"
广东省深圳市福田区骏皇名居,"114.063380,22.516000"
广东省深圳市罗湖区青橙时代公寓,"114.138396,22.583328"
广东省深圳市龙岗区星都豪庭,"114.138235,22.612237"
广东省深圳市福田区宣嘉华庭,"114.066908,22.520291"
广东省深圳市龙岗区阳光翠园,"114.141181,22.600635"
广东省深圳市福田区擎天华庭,"114.044431,22.551122"
广东省深圳市盐田区福苑,"114.230143,22.550687"
广东省深圳市南山区波托菲诺纯水岸十五期,"113.972060,22.548935"
广东省深圳市罗湖区梧桐山新居,"114.174572,22.567993"
广东省深圳市南山区世纪村1期,"113.966176,22.534235"
广东省深圳市罗湖区德兴大厦,"114.118026,22.535131"
广东省深圳市南山区绿海名都,"113.912759,22.529484"
广东省深圳市福田区彩虹新都,"114.068545,22.535844"
广东省深圳市福田区朗庭豪园,"114.059857,22.510622"
广东省深圳市龙岗区欧景花园三期,"114.233319,22.726541"
广东省深圳市宝安区泰华锦绣城,"113.889207,22.570447"
广东省深圳市福田区碧海红树园,"114.022529,22.527180"
广东省深圳市南山区深圳湾畔花园,"113.968336,22.540301"
广东省深圳市罗湖区布心花园一区,"114.139298,22.575407"
广东省深圳市福田区嘉福花园,"114.065806,22.517169"
广东省深圳市罗湖区贝丽花园,"114.125799,22.570251"
广东省深圳市龙岗区一半山,"114.146656,22.602560"
广东省深圳市南山区波托菲诺纯水岸1期,"113.977402,22.545213"
广东省深圳市福田区阁林网苑,"114.092208,22.545961"
广东省深圳市福田区南天大厦,"114.092266,22.554516"
广东省深圳市龙华区日出印象花园a区,"114.026114,22.632689"
广东省深圳市福田区福兴花园2期,"114.045225,22.567275"
广东省深圳市罗湖区华裕花园,"114.132370,22.546139"
广东省深圳市罗湖区风格名苑,"114.109815,22.551088"
广东省深圳市宝安区天悦龙庭二期,"113.887259,22.558393"
广东省深圳市罗湖区金福大厦,"114.130419,22.557670"
广东省深圳市南山区锦绣花园一期,"113.995295,22.534520"
广东省深圳市南山区创世纪滨海花园,"113.930011,22.523781"
广东省深圳市南山区鲸山花园九期,"113.907120,22.478688"
广东省深圳市罗湖区天越翔园,"114.171613,22.563707"
广东省深圳市罗湖区新港鸿花园,"114.130525,22.572219"
广东省深圳市南山区友邻公寓,"113.929740,22.531345"
广东省深圳市福田区绿景花园,"114.041736,22.522221"
广东省深圳市罗湖区城市东座,"114.169814,22.559294"
广东省深圳市罗湖区海丽大厦,"114.131733,22.549751"
广东省深圳市龙岗区春华四季园,"114.052700,22.621468"
广东省深圳市盐田区海滨花园,"114.229633,22.547624"
广东省深圳市福田区中港城,"114.052895,22.516552"
广东省深圳市宝安区万福人家,"113.825581,22.668814"
广东省深圳市南山区阳光里雅居,"113.927352,22.525297"
广东省深圳市龙岗区万科城,"114.067102,22.649015"
广东省深圳市福田区福源花园三期,"114.054565,22.508634"
广东省深圳市罗湖区仙湖枫景家园,"114.169669,22.565961"
广东省深圳市罗湖区港逸豪庭,"114.113368,22.534156"
广东省深圳市南山区翡翠海岸,"113.940752,22.488498"
广东省深圳市罗湖区嘉宾花园,"114.112623,22.540351"
广东省深圳市罗湖区雍翠豪园,"114.177790,22.565515"
广东省深圳市宝安区高发西岸花园一期,"113.876798,22.555652"
广东省深圳市福田区御锦公馆,"114.057900,22.570889"
广东省深圳市宝安区凤凰花苑,"113.830382,22.681507"
广东省深圳市南山区鹏都大厦,"113.928010,22.522426"
广东省深圳市福田区新天世纪商务中心,"114.052984,22.522496"
广东省深圳市宝安区福侨花园,"113.808504,22.671339"
广东省深圳市福田区香格丽苑,"114.012374,22.548973"
广东省深圳市罗湖区百仕达花园一期,"114.135221,22.570626"
广东省深圳市福田区发展兴苑,"114.051836,22.530265"
广东省深圳市福田区缔梦园,"114.042135,22.551777"
广东省深圳市福田区全海花园,"114.043945,22.516527"
广东省深圳市南山区桃源村,"113.985566,22.557416"
广东省深圳市龙岗区溢芳园,"114.123190,22.595860"
广东省深圳市龙华区香缇雅苑,"114.043323,22.642848"
广东省深圳市盐田区南方明珠花园,"114.259888,22.587687"
广东省深圳市龙岗区文雅豪庭,"114.127334,22.611814"
广东省深圳市福田区凯旋豪庭,"114.047092,22.547910"
广东省深圳市南山区前海花园二期,"113.913174,22.533507"
广东省深圳市南山区绿海湾,"113.939460,22.492147"
广东省深圳市福田区万托家园,"114.043215,22.552493"
广东省深圳市南山区招商名仕花园,"113.933206,22.508874"
广东省深圳市罗湖区集建国际名园,"114.123365,22.538724"
广东省深圳市南山区珑御府,"113.949450,22.526236"
广东省深圳市宝安区白金酒店公寓,"113.899878,22.564493"
广东省深圳市龙岗区聚龙苑,"114.271392,22.719612"
广东省深圳市南山区海月花园二期,"113.936245,22.502074"
广东省深圳市罗湖区华丽花园,"114.133688,22.549646"
广东省深圳市龙岗区龙富花园,"114.264040,22.716856"
广东省深圳市龙华区万科金域华府二期,"114.043819,22.598286"
广东省深圳市福田区香珠花园,"114.020172,22.537433"
广东省深圳市龙岗区吉祥来花园,"114.241948,22.708922"
广东省深圳市罗湖区汇锦名园,"114.132439,22.548228"
广东省深圳市福田区润裕山景豪苑,"114.042733,22.566358"
广东省深圳市龙岗区逸翠园,"114.123875,22.593257"
广东省深圳市罗湖区庐峰翠苑,"114.136867,22.550399"
广东省深圳市南山区欧陆经典花园,"113.970653,22.559341"
广东省深圳市宝安区香缇湾花园,"113.858994,22.575653"
广东省深圳市福田区丽港湾,"114.061341,22.510614"
广东省深圳市盐田区天利明园,"114.258435,22.589434"
广东省深圳市罗湖区鸿业苑,"114.132795,22.557115"
广东省深圳市宝安区中粮幸福花园,"113.887598,22.582928"
广东省深圳市南山区锦绣花园,"113.995713,22.533336"
广东省深圳市南山区南国丽城,"113.956624,22.581386"
广东省深圳市福田区宏轩大厦,"114.051586,22.527814"
广东省深圳市南山区太子山庄,"113.906689,22.510428"
广东省深圳市南山区矩建大厦,"113.929209,22.512034"
广东省深圳市南山区花园城一期,"113.922980,22.503570"
广东省深圳市罗湖区友谊大厦,"114.117236,22.538099"
广东省深圳市福田区群星广场,"114.088356,22.548218"
广东省深圳市罗湖区丰湖大厦,"114.120285,22.575457"
广东省深圳市福田区百花园二期,"114.094707,22.552270"
广东省深圳市宝安区翠景花园,"113.874125,22.579917"
广东省深圳市南山区时代骄子,"113.925126,22.528622"
广东省深圳市福田区华茂欣园,"114.048215,22.547091"
广东省深圳市宝安区青春庭园,"113.878807,22.583991"
广东省深圳市宝安区雅豪轩,"113.893614,22.575349"
广东省深圳市龙华区潜龙鑫茂花园b区,"114.042684,22.610708"
广东省深圳市罗湖区翠竹苑,"114.132812,22.558615"
广东省深圳市龙华区金亨利首府,"114.026305,22.618816"
广东省深圳市龙岗区第五园八期,"114.069115,22.611456"
广东省深圳市福田区鹏益花园,"114.094565,22.560168"
广东省深圳市南山区广博星海华庭,"113.935822,22.494590"
广东省深圳市罗湖区鸿园居,"114.134082,22.574020"
广东省深圳市龙岗区天集雅苑,"114.244427,22.730535"
广东省深圳市罗湖区梧桐山新居二期,"114.175187,22.567919"
广东省深圳市福田区辛诚花园,"114.066456,22.531834"
广东省深圳市罗湖区港岛银座,"114.114433,22.545444"
广东省深圳市盐田区水云间,"114.314444,22.599077"
广东省深圳市龙华区皓月花园,"114.044601,22.617463"
广东省深圳市南山区枫叶国际广场,"113.921394,22.516729"
广东省深圳市南山区澳城花园北区,"113.937669,22.488707"
广东省深圳市龙岗区上品雅园,"114.082879,22.632855"
广东省深圳市南山区海印长城小区一期,"113.931536,22.517634"
广东省深圳市罗湖区惠名花园,"114.183562,22.555485"
广东省深圳市宝安区富瑰园,"113.883977,22.582639"
广东省深圳市福田区温馨家园,"114.019528,22.554439"
广东省深圳市龙华区溪山美地园,"114.057646,22.600518"
广东省深圳市龙岗区隆盛花园,"114.202483,22.649894"
广东省深圳市南山区中爱花园,"113.984534,22.560899"
广东省深圳市罗湖区竹园住宅楼,"114.104272,22.570983"
广东省深圳市龙华区银泉花园,"114.026042,22.639643"
广东省深圳市龙华区圣莫丽斯花园,"114.028789,22.598233"
广东省深圳市罗湖区马古岭小区,"114.128977,22.563711"
广东省深圳市宝安区金石雅苑,"113.828556,22.681491"
广东省深圳市福田区皇庭彩园,"114.061345,22.520951"
广东省深圳市南山区鼎太风华一期,"113.913045,22.520766"
广东省深圳市南山区东方银座,"113.915807,22.529078"
广东省深圳市罗湖区文锦大厦,"114.131731,22.542895"
广东省深圳市南山区瑞河耶纳,"113.976236,22.526357"
广东省深圳市南山区中旅广场,"113.982498,22.536877"
广东省深圳市龙岗区华浩源a区,"114.124794,22.622882"
广东省深圳市罗湖区信兴广场,"114.110704,22.542747"
广东省深圳市龙华区风和日丽三期,"114.031000,22.640200"
广东省深圳市龙华区汇龙湾花园,"114.028162,22.622016"
广东省深圳市宝安区时代景苑,"113.829496,22.679834"
广东省深圳市龙华区丹枫雅苑,"114.030931,22.654542"
广东省深圳市罗湖区布心花园二区,"114.141027,22.574576"
广东省深圳市龙岗区顺景花园,"114.227533,22.702207"
广东省深圳市盐田区泊郡雅苑,"114.260760,22.584995"
广东省深圳市罗湖区汇泰大厦,"114.122018,22.534228"
广东省深圳市福田区七街公馆,"114.032570,22.557710"
广东省深圳市南山区科苑学里,"113.952572,22.549846"
广东省深圳市龙岗区中加名园,"114.121888,22.592852"
广东省深圳市罗湖区鹏兴花园三期,"114.167446,22.562098"
广东省深圳市宝安区白金时代公寓,"113.897009,22.565874"
广东省深圳市龙岗区朝阳里雅苑,"114.235430,22.719770"
广东省深圳市龙华区七里香,"114.025890,22.629655"
广东省深圳市宝安区天御豪庭,"113.890498,22.552855"
广东省深圳市龙华区金地梅陇镇三期,"114.032759,22.629158"
广东省深圳市罗湖区聚福花园,"114.172080,22.560876"
广东省深圳市龙岗区余岭山庄,"114.241058,22.709497"
广东省深圳市龙岗区锦城星苑,"114.279910,22.745996"
广东省深圳市福田区南光紫荆苑,"114.058448,22.509555"
广东省深圳市龙华区金地梅陇镇花园,"114.032300,22.629926"
广东省深圳市南山区玫瑰园一期,"113.920528,22.483556"
广东省深圳市龙岗区欧景花园二期,"114.233003,22.724290"
广东省深圳市南山区仓前锦福苑,"113.919470,22.527548"
广东省深圳市龙华区风和日立,"114.029371,22.641637"
广东省深圳市南山区城市假日花园,"113.978031,22.563005"
广东省深圳市龙岗区瑞华园,"114.232478,22.727473"
广东省深圳市罗湖区集浩花园,"114.135521,22.549627"
广东省深圳市罗湖区嘉宝田花园,"114.111166,22.558018"
广东省深圳市盐田区新世界倚山花园二期,"114.237198,22.561410"
广东省深圳市南山区雅仕荔景苑,"113.926989,22.510949"
广东省深圳市福田区皇城广场,"114.075206,22.525609"
广东省深圳市福田区帝涛豪园,"114.058361,22.510151"
广东省深圳市南山区泛海拉菲花园1期,"113.894306,22.499458"
广东省深圳市南山区荔林春晓小区,"113.925090,22.538078"
广东省深圳市龙华区阳光新境园,"114.031415,22.628286"
广东省深圳市南山区世界花园海华居,"113.974727,22.539801"
广东省深圳市南山区滨福庭园,"113.948473,22.526241"
广东省深圳市宝安区创业二村,"113.919935,22.586369"
广东省深圳市罗湖区深发花园,"114.138548,22.545864"
广东省深圳市福田区信托花园,"114.052616,22.526867"
广东省深圳市罗湖区俊园,"114.131503,22.551318"
广东省深圳市宝安区泰华俊庭,"113.894407,22.563639"
广东省深圳市福田区康乐大厦,"114.087404,22.542495"
广东省深圳市福田区都会,"114.084571,22.541321"
广东省深圳市龙华区日出印象花园b区,"114.023718,22.634032"
广东省深圳市南山区瑞景华庭,"113.909427,22.513858"
广东省深圳市南山区南海大厦,"113.923135,22.520033"
广东省深圳市罗湖区玉雅居,"114.185288,22.555888"
广东省深圳市南山区阳光棕榈园,"113.912792,22.525985"
广东省深圳市南山区爱榕园住宅楼,"113.929868,22.499763"
广东省深圳市龙华区梅花山庄,"114.044495,22.624169"
广东省深圳市福田区国都高尔夫花园,"114.047083,22.530637"
广东省深圳市盐田区心海伽蓝,"114.308751,22.600875"
广东省深圳市盐田区优品艺墅,"114.303994,22.599741"
广东省深圳市龙岗区理想新城,"114.126362,22.589159"
广东省深圳市龙华区莱蒙春天花园,"114.026829,22.626613"
广东省深圳市龙岗区翠湖山庄,"114.202012,22.640703"
广东省深圳市南山区文德福花园,"113.932949,22.506000"
广东省深圳市福田区桂花苑,"114.048436,22.508905"
广东省深圳市罗湖区美荔园,"114.105194,22.546253"
广东省深圳市龙岗区海雅广场,"114.230011,22.729839"
广东省深圳市龙岗区名门世家,"114.207155,22.648994"
广东省深圳市龙华区世纪春城三期,"114.033751,22.626740"
广东省深圳市罗湖区龙园苑,"114.137691,22.542540"
广东省深圳市盐田区天麓3区,"114.289374,22.615697"
广东省深圳市罗湖区新秀村南区,"114.143818,22.544628"
广东省深圳市南山区美加广场,"113.977749,22.538296"
广东省深圳市盐田区东海丽景花园,"114.258089,22.590196"
广东省深圳市龙岗区南景苑,"114.145178,22.613534"
广东省深圳市宝安区登科花园,"113.885016,22.568878"
广东省深圳市罗湖区翠盈嘉园,"114.122893,22.557289"
广东省深圳市福田区美晨苑,"114.060936,22.514929"
广东省深圳市南山区云海天城,"113.931974,22.513193"
广东省深圳市福田区凯丰花园二期,"114.064791,22.567236"
广东省深圳市福田区益田花园,"114.056759,22.515228"
广东省深圳市南山区鸣溪谷,"113.915994,22.496916"
广东省深圳市龙华区龙泉花园,"114.026560,22.650653"
广东省深圳市龙岗区信义嘉御山,"114.058528,22.635734"
广东省深圳市南山区米兰公寓,"113.927665,22.491062"
广东省深圳市龙华区福景花园,"114.022973,22.648233"
广东省深圳市龙岗区育龙庭,"114.253362,22.728797"
广东省深圳市南山区光彩新世纪家园,"113.923610,22.523420"
广东省深圳市南山区海境界家园一期,"113.935207,22.491844"
广东省深圳市南山区前海明珠,"113.915176,22.523721"
广东省深圳市福田区康欣园,"114.038067,22.553424"
广东省深圳市南山区翠薇园,"113.928057,22.498566"
广东省深圳市龙岗区又一村花园,"114.108361,22.608081"
广东省深圳市南山区博海名苑,"113.953318,22.523795"
广东省深圳市南山区月亮湾花园,"113.889982,22.492902"
广东省深圳市龙岗区长江花园,"114.235625,22.730139"
广东省深圳市福田区百花公寓,"114.092196,22.551767"
广东省深圳市龙华区风和日丽花园,"114.027888,22.639909"
广东省深圳市宝安区富华花园,"113.881027,22.564203"
广东省深圳市福田区百花园一期,"114.095073,22.553555"
广东省深圳市龙岗区和兴花园,"114.229305,22.720382"
广东省深圳市罗湖区富达花园,"114.172364,22.564955"
广东省深圳市龙岗区万科城二期,"114.068550,22.644870"
广东省深圳市罗湖区美思苑大厦,"114.132647,22.566642"
广东省深圳市福田区天健阳光华苑,"114.055710,22.525039"
广东省深圳市宝安区俊景豪园,"113.805012,22.709121"
广东省深圳市福田区晨晖家园,"114.061142,22.520034"
广东省深圳市南山区如意家园,"113.922034,22.531533"
广东省深圳市南山区前海花园三期,"113.910840,22.533668"
广东省深圳市宝安区兴华花园,"113.865300,22.579943"
广东省深圳市罗湖区仙桐合正锦园,"114.177276,22.563378"
广东省深圳市福田区福莲花园,"114.068126,22.546715"
